State FIPS,County FIPS,Postal,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
0,0,US,United States,"42,868,163","42,631,574","43,104,752",14.3,14.3,14.4,"14,656,962","14,526,159","14,787,765",20,19.8,20.2,"9,509,142","9,419,830","9,598,454",18.2,18.1,18.4,"50,221","50,147","50,295","4,849,988","4,792,377","4,907,599",23.2,23,23.5
1,0,AL,Alabama,"805,223","789,114","821,333",17.5,17.2,17.9,"274,243","265,833","282,654",24.6,23.8,25.3,"181,942","175,085","188,799",22.7,21.9,23.6,"40,547","40,037","41,057","89,398","84,576","94,221",28.7,27.2,30.3
1,1,AL,Autauga County,"5,653","4,401","6,905",11.2,8.7,13.7,"2,264","1,755","2,773",16.2,12.5,19.8,"1,522","1,161","1,883",14.6,11.1,18,"53,081","48,727","57,435",,,,,,
1,3,AL,Baldwin County,"23,590","20,404","26,776",13.3,11.5,15.1,"8,070","6,724","9,417",19.6,16.3,22.9,"5,424","4,496","6,352",18.3,15.2,21.4,"48,637","46,195","51,078",,,,,,
1,5,AL,Barbour County,"8,676","7,407","9,945",32.8,28,37.6,"2,690","2,297","3,083",41.2,35.2,47.2,"1,949","1,678","2,220",41.6,35.9,47.4,"28,802","26,012","31,591",,,,,,
1,7,AL,Bibb County,"3,658","2,727","4,589",18.1,13.5,22.6,"1,278",979,"1,577",25.7,19.7,31.7,845,642,"1,048",22.9,17.4,28.4,"38,294","34,409","42,180",,,,,,
1,9,AL,Blount County,"8,457","6,782","10,132",14.6,11.7,17.5,"2,849","2,242","3,455",20.4,16.1,24.8,"1,844","1,424","2,264",18,13.9,22.1,"41,520","38,652","44,388",,,,,,
1,11,AL,Bullock County,"3,230","2,492","3,968",34.7,26.8,42.7,"1,063",832,"1,294",39.7,31,48.3,713,556,870,39.7,30.9,48.4,"24,206","21,705","26,707",,,,,,
1,13,AL,Butler County,"5,792","4,918","6,667",29.4,25,33.9,"1,897","1,566","2,228",38.7,32,45.5,"1,166",921,"1,411",33.4,26.4,40.5,"27,794","25,172","30,416",,,,,,
1,15,AL,Calhoun County,"21,134","18,212","24,056",19,16.4,21.6,"6,999","5,833","8,165",26.7,22.3,31.2,"4,422","3,590","5,254",23.7,19.2,28.2,"37,340","35,054","39,625",,,,,,
1,17,AL,Chambers County,"6,974","5,661","8,287",20.7,16.8,24.5,"2,306","1,828","2,784",30.2,24,36.5,"1,597","1,264","1,930",28.6,22.6,34.5,"30,621","28,252","32,990",,,,,,
