State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
19,167,IA,Sioux County,"2,623","2,115","3,131",8.2,6.6,9.8,898,715,"1,081",9.7,7.7,11.7,633,491,775,9.5,7.4,11.6,61817.00,"57,787","65,847",.,.,.,.,.,.
19,169,IA,Story County,"17,496","16,302","18,690",21.1,19.7,22.5,"1,658","1,297","2,019",10.5,8.2,12.8,"1,128",871,"1,385",10,7.7,12.3,53782.00,"49,723","57,841",.,.,.,.,.,.
19,171,IA,Tama County,"1,973","1,570","2,376",11.5,9.2,13.8,707,551,863,17,13.3,20.7,490,373,607,15.6,11.9,19.3,53844.00,"50,029","57,659",.,.,.,.,.,.
19,173,IA,Taylor County,854,681,"1,027",14.1,11.2,17,249,191,307,18,13.8,22.2,176,130,222,17,12.6,21.4,45009.00,"41,080","48,938",.,.,.,.,.,.
19,175,IA,Union County,"1,656","1,291","2,021",13.5,10.5,16.5,579,444,714,20.1,15.4,24.8,394,291,497,18.7,13.8,23.6,43357.00,"39,463","47,251",.,.,.,.,.,.
19,177,IA,Van Buren County,"1,191",930,"1,452",16.2,12.7,19.7,446,346,546,26.3,20.4,32.2,315,237,393,26.3,19.8,32.8,43019.00,"39,299","46,739",.,.,.,.,.,.
19,179,IA,Wapello County,"6,843","5,853","7,833",19.9,17,22.8,"1,911","1,537","2,285",24.5,19.7,29.3,"1,300","1,008","1,592",23.1,17.9,28.3,40629.00,"37,344","43,914",.,.,.,.,.,.
19,181,IA,Warren County,"3,207","2,501","3,913",7,5.5,8.5,"1,079",830,"1,328",9.1,7,11.2,721,533,909,8,5.9,10.1,66328.00,"61,626","71,030",.,.,.,.,.,.
19,183,IA,Washington County,"2,021","1,561","2,481",9.3,7.2,11.4,792,605,979,14.8,11.3,18.3,559,413,705,14.2,10.5,17.9,54480.00,"51,293","57,667",.,.,.,.,.,.
19,185,IA,Wayne County,893,671,"1,115",14.2,10.7,17.7,403,305,501,26.5,20.1,32.9,280,203,357,25.5,18.5,32.5,38981.00,"36,571","41,391",.,.,.,.,.,.
19,187,IA,Webster County,"5,475","4,520","6,430",15.9,13.1,18.7,"1,737","1,388","2,086",22.1,17.6,26.6,"1,258",990,"1,526",22.1,17.4,26.8,45202.00,"41,249","49,155",.,.,.,.,.,.
19,189,IA,Winnebago County,"1,118",885,"1,351",11.1,8.8,13.4,340,260,420,15.6,11.9,19.3,247,183,311,15,11.1,18.9,50383.00,"46,399","54,367",.,.,.,.,.,.
19,191,IA,Winneshiek County,"2,031","1,662","2,400",10.9,8.9,12.9,463,374,552,11.6,9.4,13.8,330,260,400,10.8,8.5,13.1,53194.00,"50,162","56,226",.,.,.,.,.,.
19,193,IA,Woodbury County,"16,423","14,159","18,687",16.5,14.2,18.8,"5,965","4,909","7,021",22.7,18.7,26.7,"4,203","3,407","4,999",22.5,18.2,26.8,45678.00,"43,751","47,605",.,.,.,.,.,.
19,195,IA,Worth County,808,653,963,10.9,8.8,13,258,205,311,16.1,12.8,19.4,176,133,219,14.5,11,18,49605.00,"44,792","54,418",.,.,.,.,.,.
19,197,IA,Wright County,"1,348","1,050","1,646",10.6,8.3,12.9,494,377,611,16.8,12.8,20.8,353,262,444,16.2,12,20.4,49369.00,"45,413","53,325",.,.,.,.,.,.
20,0,KS,Kansas,"391,718","380,565","402,871",13.9,13.5,14.3,"131,251","124,782","137,720",18.4,17.5,19.3,"84,325","78,956","89,694",16.5,15.5,17.5,50892.00,"50,299","51,485","43,706","40,107","47,305",22.1,20.3,23.9
20,1,KS,Allen County,"2,214","1,741","2,687",17.5,13.8,21.2,783,604,962,26.4,20.4,32.4,505,372,638,23.4,17.2,29.6,40073.00,"37,112","43,034",.,.,.,.,.,.
20,3,KS,Anderson County,"1,201",961,"1,441",15.4,12.3,18.5,415,321,509,21,16.2,25.8,273,201,345,18.9,13.9,23.9,42386.00,"38,191","46,581",.,.,.,.,.,.
20,5,KS,Atchison County,"2,782","2,243","3,321",17.9,14.4,21.4,872,681,"1,063",22.2,17.3,27.1,583,436,730,20.7,15.5,25.9,44180.00,"41,129","47,231",.,.,.,.,.,.
20,7,KS,Barber County,624,506,742,12.7,10.3,15.1,201,157,245,18.3,14.3,22.3,134,100,168,17.7,13.2,22.2,50097.00,"45,421","54,773",.,.,.,.,.,.
20,9,KS,Barton County,"4,028","3,277","4,779",15,12.2,17.8,"1,336","1,040","1,632",20.3,15.8,24.8,844,619,"1,069",17.9,13.1,22.7,42464.00,"39,068","45,860",.,.,.,.,.,.
20,11,KS,Bourbon County,"2,788","2,203","3,373",19.4,15.3,23.5,"1,099",851,"1,347",30.1,23.3,36.9,706,518,894,26.9,19.7,34.1,35990.00,"32,742","39,238",.,.,.,.,.,.
20,13,KS,Brown County,"1,458","1,141","1,775",14.7,11.5,17.9,562,426,698,22.7,17.2,28.2,381,276,486,22,15.9,28.1,41426.00,"37,953","44,899",.,.,.,.,.,.
20,15,KS,Butler County,"7,168","5,868","8,468",11.3,9.2,13.4,"2,397","1,920","2,874",14.2,11.4,17,"1,576","1,222","1,930",12.1,9.4,14.8,56456.00,"53,764","59,148",.,.,.,.,.,.
20,17,KS,Chase County,296,224,368,11.6,8.8,14.4,100,77,123,18,13.8,22.2,67,49,85,15.4,11.2,19.6,44300.00,"39,965","48,635",.,.,.,.,.,.
20,19,KS,Chautauqua County,547,419,675,15.8,12.1,19.5,179,138,220,25.8,19.8,31.8,121,89,153,24.1,17.7,30.5,38973.00,"35,482","42,464",.,.,.,.,.,.
20,21,KS,Cherokee County,"3,906","3,135","4,677",18.9,15.2,22.6,"1,402","1,091","1,713",27.7,21.5,33.9,940,704,"1,176",24.9,18.7,31.1,40310.00,"36,583","44,037",.,.,.,.,.,.
20,23,KS,Cheyenne County,330,260,400,12.5,9.8,15.2,102,79,125,18.3,14.1,22.5,67,49,85,16.3,11.9,20.7,39317.00,"35,598","43,036",.,.,.,.,.,.
20,25,KS,Clark County,261,205,317,12.3,9.7,14.9,85,65,105,15.6,12,19.2,56,41,71,14,10.3,17.7,42866.00,"39,205","46,527",.,.,.,.,.,.
20,27,KS,Clay County,976,775,"1,177",11.9,9.5,14.3,333,260,406,17.4,13.6,21.2,230,173,287,16.9,12.7,21.1,48178.00,"43,477","52,879",.,.,.,.,.,.
20,29,KS,Cloud County,"1,259","1,006","1,512",14.3,11.4,17.2,343,265,421,17.2,13.3,21.1,214,156,272,15,10.9,19.1,40663.00,"37,223","44,103",.,.,.,.,.,.
20,31,KS,Coffey County,890,706,"1,074",10.8,8.6,13,251,196,306,13.5,10.5,16.5,163,119,207,11.2,8.2,14.2,53487.00,"48,957","58,017",.,.,.,.,.,.
20,33,KS,Comanche County,211,165,257,11.3,8.8,13.8,79,61,97,15.9,12.3,19.5,47,34,60,14.2,10.3,18.1,44076.00,"39,924","48,228",.,.,.,.,.,.
20,35,KS,Cowley County,"6,242","5,209","7,275",18.3,15.3,21.3,"2,022","1,588","2,456",23.7,18.6,28.8,"1,281",951,"1,611",20.9,15.5,26.3,42341.00,"39,447","45,235",.,.,.,.,.,.
20,37,KS,Crawford County,"8,310","7,310","9,310",22.2,19.5,24.9,"2,057","1,619","2,495",24.4,19.2,29.6,"1,390","1,057","1,723",23.1,17.6,28.6,36958.00,"33,851","40,065",.,.,.,.,.,.
20,39,KS,Decatur County,392,310,474,13.8,10.9,16.7,114,88,140,20.8,16,25.6,76,55,97,19.5,14.1,24.9,37789.00,"34,063","41,515",.,.,.,.,.,.
20,41,KS,Dickinson County,"2,104","1,656","2,552",10.9,8.6,13.2,763,589,937,16.2,12.5,19.9,494,358,630,14.6,10.6,18.6,49033.00,"45,717","52,349",.,.,.,.,.,.
20,43,KS,Doniphan County,"1,053",839,"1,267",14.3,11.4,17.2,315,248,382,18.9,14.9,22.9,210,159,261,17.2,13,21.4,46338.00,"42,321","50,355",.,.,.,.,.,.
20,45,KS,Douglas County,"17,586","14,980","20,192",16.6,14.1,19.1,"3,249","2,584","3,914",15.2,12.1,18.3,"2,055","1,547","2,563",13.3,10,16.6,51221.00,"48,132","54,310",.,.,.,.,.,.
20,47,KS,Edwards County,344,270,418,11.8,9.3,14.3,117,91,143,17.5,13.6,21.4,79,59,99,15.6,11.6,19.6,45687.00,"42,019","49,355",.,.,.,.,.,.
20,49,KS,Elk County,474,365,583,18.2,14,22.4,165,126,204,32.4,24.8,40,116,84,148,28.2,20.5,35.9,37537.00,"34,610","40,464",.,.,.,.,.,.
20,51,KS,Ellis County,"4,024","3,376","4,672",14.4,12.1,16.7,856,671,"1,041",13.7,10.7,16.7,543,396,690,12.7,9.3,16.1,47454.00,"43,131","51,777",.,.,.,.,.,.
20,53,KS,Ellsworth County,616,484,748,11.4,9,13.8,152,117,187,13.8,10.6,17,101,73,129,12.8,9.3,16.3,48030.00,"43,758","52,302",.,.,.,.,.,.
20,55,KS,Finney County,"6,114","5,067","7,161",16.8,13.9,19.7,"2,611","2,077","3,145",22.7,18.1,27.3,"1,678","1,271","2,085",21.1,16,26.2,46984.00,"44,384","49,584",.,.,.,.,.,.
20,57,KS,Ford County,"4,756","3,837","5,675",14,11.3,16.7,"1,949","1,520","2,378",18.6,14.5,22.7,"1,297",961,"1,633",18.3,13.6,23,46444.00,"42,829","50,059",.,.,.,.,.,.
20,59,KS,Franklin County,"3,561","2,877","4,245",14.1,11.4,16.8,"1,217",956,"1,478",19.5,15.3,23.7,762,564,960,16.4,12.1,20.7,48297.00,"44,570","52,024",.,.,.,.,.,.
20,61,KS,Geary County,"5,758","4,857","6,659",15.8,13.3,18.3,"2,756","2,216","3,296",24.2,19.5,28.9,"1,710","1,286","2,134",24.1,18.1,30.1,41048.00,"38,682","43,414",.,.,.,.,.,.
20,63,KS,Gove County,285,224,346,10.5,8.2,12.8,101,78,124,15,11.6,18.4,68,50,86,14.4,10.6,18.2,48042.00,"43,830","52,254",.,.,.,.,.,.
20,65,KS,Graham County,341,271,411,13.3,10.5,16.1,95,74,116,18.6,14.5,22.7,62,46,78,17.3,12.9,21.7,44422.00,"40,219","48,625",.,.,.,.,.,.
20,67,KS,Grant County,920,720,"1,120",11.7,9.2,14.2,441,340,542,17.2,13.3,21.1,293,214,372,15.8,11.5,20.1,54952.00,"51,029","58,875",.,.,.,.,.,.
20,69,KS,Gray County,558,445,671,9.4,7.5,11.3,237,187,287,13.6,10.7,16.5,152,115,189,11.9,9,14.8,56615.00,"51,870","61,360",.,.,.,.,.,.
20,71,KS,Greeley County,126,98,154,10,7.8,12.2,39,30,48,13.4,10.3,16.5,26,19,33,13.4,9.7,17.1,50637.00,"45,596","55,678",.,.,.,.,.,.
20,73,KS,Greenwood County,992,781,"1,203",15.7,12.3,19.1,312,241,383,23,17.8,28.2,204,152,256,20.1,14.9,25.3,35803.00,"32,654","38,952",.,.,.,.,.,.
20,75,KS,Hamilton County,359,281,437,13.8,10.8,16.8,152,117,187,20.5,15.8,25.2,102,75,129,20.3,14.9,25.7,42263.00,"38,130","46,396",.,.,.,.,.,.
20,77,KS,Harper County,850,692,"1,008",14.9,12.1,17.7,292,228,356,21.4,16.7,26.1,190,139,241,19.9,14.6,25.2,43066.00,"39,187","46,945",.,.,.,.,.,.
20,79,KS,Harvey County,"3,762","3,014","4,510",11.3,9.1,13.5,"1,291","1,002","1,580",15.1,11.7,18.5,816,594,"1,038",13.2,9.6,16.8,54135.00,"49,341","58,929",.,.,.,.,.,.
20,81,KS,Haskell County,472,369,575,11.5,9,14,206,159,253,17.2,13.3,21.1,138,102,174,15.8,11.7,19.9,53076.00,"49,935","56,217",.,.,.,.,.,.
20,83,KS,Hodgeman County,188,146,230,9.7,7.5,11.9,59,45,73,13.8,10.6,17,41,30,52,13.4,9.8,17,49119.00,"44,486","53,752",.,.,.,.,.,.
20,85,KS,Jackson County,"1,370","1,077","1,663",10.4,8.2,12.6,510,392,628,15.1,11.6,18.6,331,240,422,13,9.4,16.6,50661.00,"46,213","55,109",.,.,.,.,.,.
20,87,KS,Jefferson County,"1,874","1,499","2,249",10.1,8.1,12.1,616,479,753,14.3,11.1,17.5,412,311,513,12.3,9.3,15.3,54890.00,"50,640","59,140",.,.,.,.,.,.
20,89,KS,Jewell County,414,328,500,13.7,10.8,16.6,113,89,137,20.2,15.9,24.5,79,60,98,18.2,13.8,22.6,41924.00,"37,869","45,979",.,.,.,.,.,.
20,91,KS,Johnson County,"34,429","30,282","38,576",6.1,5.4,6.8,"10,079","8,225","11,933",7,5.7,8.3,"6,459","5,006","7,912",6.1,4.7,7.5,74135.00,"72,102","76,168",.,.,.,.,.,.
20,93,KS,Kearny County,468,367,569,12.2,9.6,14.8,219,168,270,19.2,14.8,23.6,145,106,184,17.7,12.9,22.5,54399.00,"49,368","59,430",.,.,.,.,.,.
20,95,KS,Kingman County,933,730,"1,136",12.2,9.5,14.9,303,233,373,17.6,13.5,21.7,206,150,262,15.7,11.4,20,51281.00,"46,498","56,064",.,.,.,.,.,.
20,97,KS,Kiowa County,272,208,336,11.5,8.8,14.2,74,57,91,14.6,11.2,18,49,36,62,14,10.2,17.8,45417.00,"41,056","49,778",.,.,.,.,.,.
20,99,KS,Labette County,"3,367","2,629","4,105",16.4,12.8,20,"1,260",967,"1,553",26.6,20.4,32.8,824,604,"1,044",23.9,17.5,30.3,38542.00,"35,237","41,847",.,.,.,.,.,.
20,101,KS,Lane County,164,128,200,9.6,7.5,11.7,54,42,66,14.4,11.1,17.7,36,26,46,12.3,9,15.6,52915.00,"48,103","57,727",.,.,.,.,.,.
20,103,KS,Leavenworth County,"8,040","6,795","9,285",11.2,9.5,12.9,"2,584","2,122","3,046",13.7,11.2,16.2,"1,746","1,387","2,105",12.8,10.2,15.4,65424.00,"61,395","69,453",.,.,.,.,.,.
20,105,KS,Lincoln County,407,320,494,13.2,10.4,16,147,113,181,19.9,15.3,24.5,95,69,121,17.7,12.9,22.5,42521.00,"38,752","46,290",.,.,.,.,.,.
20,107,KS,Linn County,"1,425","1,141","1,709",15.1,12.1,18.1,477,367,587,21.5,16.6,26.4,310,226,394,17.8,12.9,22.7,44036.00,"40,352","47,720",.,.,.,.,.,.
20,109,KS,Logan County,278,218,338,10.1,7.9,12.3,84,65,103,13.7,10.6,16.8,55,40,70,12.4,9.1,15.7,46375.00,"41,828","50,922",.,.,.,.,.,.
20,111,KS,Lyon County,"6,790","5,865","7,715",21.2,18.3,24.1,"1,744","1,391","2,097",23.1,18.4,27.8,"1,112",852,"1,372",20.4,15.6,25.2,39483.00,"35,969","42,997",.,.,.,.,.,.
20,113,KS,McPherson County,"2,682","2,121","3,243",9.4,7.4,11.4,791,610,972,11.7,9,14.4,504,371,637,10.1,7.4,12.8,52734.00,"49,118","56,350",.,.,.,.,.,.
20,115,KS,Marion County,"1,465","1,194","1,736",12.8,10.4,15.2,411,321,501,16.2,12.7,19.7,260,189,331,13.5,9.8,17.2,45319.00,"41,771","48,867",.,.,.,.,.,.
20,117,KS,Marshall County,"1,035",809,"1,261",10.5,8.2,12.8,332,255,409,14.7,11.3,18.1,225,163,287,13.5,9.8,17.2,50087.00,"45,947","54,227",.,.,.,.,.,.
20,119,KS,Meade County,436,338,534,10.3,8,12.6,170,131,209,14.3,11,17.6,110,80,140,12.3,9,15.6,53942.00,"49,707","58,177",.,.,.,.,.,.
20,121,KS,Miami County,"3,032","2,394","3,670",9.4,7.4,11.4,"1,056",818,"1,294",12.6,9.7,15.5,693,510,876,11,8.1,13.9,59706.00,"54,554","64,858",.,.,.,.,.,.
20,123,KS,Mitchell County,743,602,884,12.2,9.9,14.5,203,158,248,14.8,11.5,18.1,136,100,172,14.2,10.4,18,46181.00,"41,979","50,383",.,.,.,.,.,.
20,125,KS,Montgomery County,"5,475","4,402","6,548",16.6,13.3,19.9,"1,974","1,515","2,433",25,19.2,30.8,"1,255",914,"1,596",22.1,16.1,28.1,39045.00,"36,403","41,687",.,.,.,.,.,.
20,127,KS,Morris County,733,579,887,13,10.3,15.7,230,178,282,19.6,15.2,24,158,117,199,18.1,13.4,22.8,46404.00,"43,608","49,200",.,.,.,.,.,.
20,129,KS,Morton County,363,283,443,11.9,9.3,14.5,148,114,182,18.2,14,22.4,96,70,122,16,11.7,20.3,51157.00,"46,180","56,134",.,.,.,.,.,.
20,131,KS,Nemaha County,970,779,"1,161",9.8,7.9,11.7,282,217,347,11,8.5,13.5,192,140,244,10.2,7.4,13,50006.00,"45,237","54,775",.,.,.,.,.,.
20,133,KS,Neosho County,"2,967","2,378","3,556",18.7,15,22.4,"1,174",940,"1,408",29.8,23.8,35.8,753,577,929,26.7,20.5,32.9,41877.00,"38,203","45,551",.,.,.,.,.,.
20,135,KS,Ness County,324,260,388,10.8,8.7,12.9,97,78,116,14.7,11.7,17.7,68,53,83,13.3,10.3,16.3,49432.00,"44,690","54,174",.,.,.,.,.,.
20,137,KS,Norton County,680,532,828,14.2,11.1,17.3,179,139,219,16.9,13.1,20.7,120,89,151,15.7,11.6,19.8,42389.00,"38,148","46,630",.,.,.,.,.,.
20,139,KS,Osage County,"2,021","1,647","2,395",12.7,10.3,15.1,640,492,788,16.6,12.8,20.4,410,295,525,14.1,10.2,18,48991.00,"45,406","52,576",.,.,.,.,.,.
20,141,KS,Osborne County,561,449,673,15.2,12.2,18.2,183,143,223,23.1,18,28.2,122,91,153,21.3,15.9,26.7,38493.00,"34,825","42,161",.,.,.,.,.,.
20,143,KS,Ottawa County,550,421,679,9.3,7.1,11.5,184,141,227,12.9,9.9,15.9,122,89,155,11.1,8,14.2,52041.00,"47,494","56,588",.,.,.,.,.,.
20,145,KS,Pawnee County,863,668,"1,058",14.5,11.2,17.8,233,179,287,18.6,14.3,22.9,142,104,180,16.2,11.9,20.5,45331.00,"41,104","49,558",.,.,.,.,.,.
20,147,KS,Phillips County,672,522,822,12.3,9.5,15.1,232,179,285,18.3,14.1,22.5,155,113,197,16.1,11.7,20.5,44080.00,"41,099","47,061",.,.,.,.,.,.
20,149,KS,Pottawatomie County,"2,104","1,678","2,530",9.4,7.5,11.3,814,630,998,12.2,9.4,15,537,395,679,11.3,8.3,14.3,59856.00,"55,169","64,543",.,.,.,.,.,.
20,151,KS,Pratt County,"1,174",949,"1,399",12.4,10,14.8,389,305,473,16.3,12.8,19.8,247,182,312,14.9,11,18.8,50970.00,"46,015","55,925",.,.,.,.,.,.
20,153,KS,Rawlins County,311,243,379,12.2,9.5,14.9,79,61,97,16.6,12.8,20.4,54,39,69,15.2,11.1,19.3,45901.00,"41,786","50,016",.,.,.,.,.,.
20,155,KS,Reno County,"9,085","7,658","10,512",14.9,12.6,17.2,"2,956","2,389","3,523",20.2,16.3,24.1,"1,919","1,465","2,373",17.9,13.7,22.1,44099.00,"42,173","46,025",.,.,.,.,.,.
20,157,KS,Republic County,603,478,728,12.8,10.1,15.5,193,149,237,20.5,15.9,25.1,134,99,169,20,14.8,25.2,39819.00,"36,239","43,399",.,.,.,.,.,.
20,159,KS,Rice County,"1,257",990,"1,524",13.5,10.6,16.4,428,329,527,18.4,14.2,22.6,270,196,344,16.3,11.9,20.7,45389.00,"41,284","49,494",.,.,.,.,.,.
20,161,KS,Riley County,"14,486","12,920","16,052",21.8,19.4,24.2,"2,298","1,806","2,790",17.4,13.7,21.1,"1,394","1,033","1,755",17.4,12.9,21.9,46267.00,"42,402","50,132",.,.,.,.,.,.
20,163,KS,Rooks County,706,574,838,13.8,11.2,16.4,222,176,268,18.6,14.7,22.5,150,113,187,17.2,12.9,21.5,40870.00,"36,921","44,819",.,.,.,.,.,.
20,165,KS,Rush County,390,300,480,12.5,9.6,15.4,116,89,143,19,14.6,23.4,79,58,100,16.5,12.1,20.9,42867.00,"38,816","46,918",.,.,.,.,.,.
20,167,KS,Russell County,"1,172",977,"1,367",17.1,14.2,20,350,282,418,23.9,19.3,28.5,208,155,261,20.5,15.3,25.7,39520.00,"35,813","43,227",.,.,.,.,.,.
20,169,KS,Saline County,"7,838","6,509","9,167",14.4,12,16.8,"2,634","2,087","3,181",19.8,15.7,23.9,"1,638","1,217","2,059",17.5,13,22,48505.00,"45,470","51,540",.,.,.,.,.,.
20,171,KS,Scott County,423,331,515,8.6,6.7,10.5,166,128,204,12.8,9.8,15.8,114,83,145,12,8.8,15.2,51013.00,"45,888","56,138",.,.,.,.,.,.
20,173,KS,Sedgwick County,"79,780","73,769","85,791",16,14.8,17.2,"29,273","26,042","32,504",22.1,19.7,24.5,"18,125","15,650","20,600",19.3,16.7,21.9,48671.00,"47,077","50,265",.,.,.,.,.,.
20,175,KS,Seward County,"4,169","3,488","4,850",18.2,15.2,21.2,"1,850","1,540","2,160",25.3,21.1,29.5,"1,280","1,057","1,503",25.7,21.2,30.2,45349.00,"41,405","49,293",.,.,.,.,.,.
20,177,KS,Shawnee County,"29,374","26,252","32,496",16.8,15,18.6,"9,513","7,938","11,088",22.2,18.5,25.9,"6,151","4,969","7,333",19.9,16.1,23.7,50042.00,"47,895","52,189",.,.,.,.,.,.
20,179,KS,Sheridan County,282,219,345,11.2,8.7,13.7,98,75,121,16.5,12.7,20.3,66,48,84,14.6,10.6,18.6,50961.00,"45,906","56,016",.,.,.,.,.,.
20,181,KS,Sherman County,924,714,"1,134",15.4,11.9,18.9,342,264,420,24.1,18.6,29.6,223,163,283,22.1,16.2,28,38025.00,"35,645","40,405",.,.,.,.,.,.
20,183,KS,Smith County,460,357,563,12.7,9.9,15.5,122,94,150,17.7,13.7,21.7,82,60,104,16,11.7,20.3,39696.00,"35,927","43,465",.,.,.,.,.,.
20,185,KS,Stafford County,619,505,733,14.5,11.8,17.2,212,166,258,20.2,15.8,24.6,139,105,173,17.2,12.9,21.5,42430.00,"38,515","46,345",.,.,.,.,.,.
20,187,KS,Stanton County,267,206,328,12.5,9.7,15.3,118,91,145,19.3,14.8,23.8,77,56,98,17.9,13,22.8,49977.00,"45,170","54,784",.,.,.,.,.,.
20,189,KS,Stevens County,625,496,754,10.9,8.7,13.1,275,213,337,15.6,12.1,19.1,177,130,224,13.5,9.9,17.1,57483.00,"52,177","62,789",.,.,.,.,.,.
20,191,KS,Sumner County,"3,098","2,497","3,699",13.4,10.8,16,"1,067",827,"1,307",18.2,14.1,22.3,688,506,870,15.8,11.6,20,50844.00,"46,118","55,570",.,.,.,.,.,.
20,193,KS,Thomas County,839,651,"1,027",11.1,8.6,13.6,236,181,291,13.1,10,16.2,145,105,185,11.5,8.3,14.7,47654.00,"43,363","51,945",.,.,.,.,.,.
20,195,KS,Trego County,300,232,368,10.3,8,12.6,72,55,89,13.1,10,16.2,50,36,64,12.7,9.2,16.2,43668.00,"39,508","47,828",.,.,.,.,.,.
20,197,KS,Wabaunsee County,655,516,794,9.4,7.4,11.4,228,175,281,13.2,10.2,16.2,147,107,187,11.7,8.5,14.9,54414.00,"49,469","59,359",.,.,.,.,.,.
20,199,KS,Wallace County,192,150,234,12.4,9.7,15.1,67,51,83,16.7,12.8,20.6,45,33,57,14.5,10.5,18.5,46082.00,"41,428","50,736",.,.,.,.,.,.
20,201,KS,Washington County,580,450,710,10.5,8.1,12.9,185,142,228,15,11.5,18.5,124,90,158,13.4,9.8,17,43897.00,"40,839","46,955",.,.,.,.,.,.
20,203,KS,Wichita County,243,188,298,11.2,8.6,13.8,99,76,122,17.6,13.5,21.7,65,47,83,16,11.6,20.4,51286.00,"47,155","55,417",.,.,.,.,.,.
20,205,KS,Wilson County,"1,647","1,329","1,965",18.4,14.8,22,608,481,735,28.4,22.5,34.3,387,288,486,23.9,17.8,30,41073.00,"37,990","44,156",.,.,.,.,.,.
20,207,KS,Woodson County,550,431,669,17.4,13.6,21.2,209,161,257,30.2,23.3,37.1,137,101,173,25.9,19.1,32.7,40971.00,"38,380","43,562",.,.,.,.,.,.
20,209,KS,Wyandotte County,"40,636","37,352","43,920",25.6,23.5,27.7,"17,136","15,328","18,944",38.3,34.3,42.3,"11,302","9,947","12,657",36.4,32,40.8,38728.00,"36,541","40,915",.,.,.,.,.,.
21,0,KY,Kentucky,"803,044","788,501","817,587",18.8,18.5,19.1,"253,390","244,601","262,179",25.5,24.6,26.4,"171,420","163,807","179,033",23.7,22.6,24.8,43307.00,"42,676","43,938","77,366","73,276","81,456",28.9,27.4,30.4
21,1,KY,Adair County,"4,395","3,427","5,363",25,19.5,30.5,"1,480","1,149","1,811",39,30.3,47.7,996,747,"1,245",35.4,26.6,44.2,31710.00,"28,790","34,630",.,.,.,.,.,.
21,3,KY,Allen County,"4,139","3,309","4,969",20.6,16.5,24.7,"1,498","1,163","1,833",31.4,24.4,38.4,"1,016",766,"1,266",29.2,22,36.4,39798.00,"36,276","43,320",.,.,.,.,.,.
21,5,KY,Anderson County,"2,464","1,930","2,998",11.4,8.9,13.9,961,742,"1,180",18.5,14.3,22.7,657,487,827,16.8,12.5,21.1,52852.00,"47,957","57,747",.,.,.,.,.,.
21,7,KY,Ballard County,"1,395","1,113","1,677",17.1,13.6,20.6,479,375,583,26.2,20.5,31.9,325,246,404,23.4,17.7,29.1,42712.00,"38,597","46,827",.,.,.,.,.,.
21,9,KY,Barren County,"8,699","7,307","10,091",20.7,17.4,24,"2,897","2,306","3,488",29.3,23.3,35.3,"1,879","1,421","2,337",25.8,19.5,32.1,38370.00,"34,877","41,863",.,.,.,.,.,.
21,11,KY,Bath County,"3,135","2,545","3,725",26.5,21.5,31.5,"1,132",893,"1,371",38.9,30.7,47.1,763,574,952,34.9,26.2,43.6,33752.00,"30,571","36,933",.,.,.,.,.,.
21,13,KY,Bell County,"9,608","7,965","11,251",35.7,29.6,41.8,"2,776","2,202","3,350",47.3,37.5,57.1,"1,829","1,373","2,285",43.4,32.6,54.2,25761.00,"23,350","28,172",.,.,.,.,.,.
21,15,KY,Boone County,"10,704","8,820","12,588",8.7,7.2,10.2,"3,968","3,197","4,739",11.7,9.4,14,"2,700","2,123","3,277",10.7,8.4,13,65274.00,"61,958","68,590",.,.,.,.,.,.
21,17,KY,Bourbon County,"3,258","2,547","3,969",16.5,12.9,20.1,"1,191",918,"1,464",25.8,19.9,31.7,833,621,"1,045",24.6,18.3,30.9,40045.00,"36,414","43,676",.,.,.,.,.,.
21,19,KY,Boyd County,"9,440","8,052","10,828",20.3,17.3,23.3,"2,667","2,110","3,224",26.6,21,32.2,"1,863","1,446","2,280",25.6,19.9,31.3,41443.00,"38,713","44,173",.,.,.,.,.,.
21,21,KY,Boyle County,"4,534","3,673","5,395",17.2,13.9,20.5,"1,458","1,146","1,770",25,19.7,30.3,980,744,"1,216",22.6,17.2,28,43585.00,"40,419","46,751",.,.,.,.,.,.
21,23,KY,Bracken County,"1,348","1,062","1,634",16.2,12.8,19.6,489,376,602,24.7,19,30.4,338,250,426,22.6,16.7,28.5,43222.00,"38,933","47,511",.,.,.,.,.,.
21,25,KY,Breathitt County,"4,500","3,748","5,252",33.9,28.2,39.6,"1,208",950,"1,466",43.6,34.3,52.9,838,636,"1,040",42.1,32,52.2,26869.00,"24,365","29,373",.,.,.,.,.,.
